ID	STRUCTURE	FREQUENCY	Bana	BiaoMin	CentralGuizhouChuanqiandian	Chuanqiandian	EasternBahen	EasternLuobuohe	EasternQiandong	EasternXiangxi	Numao	WesternBaheng	WesternLuobuohe	WesternQiandong	WesternXiangxi	Younuo	ZaoMin	COGNATESETS	CONCEPTS
420-2	i	2	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	Ø	pʰ	pʰ	pʰ	pʰ	Ø	1825:0, 1878:0	chop (firewood) / classifier for clothing
589-2	i	2	pʰ	p	p	p	Ø	p	Ø	f	Ø	Ø	p	ɬ	p	p	p	4044:0, 9735:0	four / table
833-2	i	2	pʰ	p	p	Ø	p	ⁿp	p	p	Ø	Ø	ⁿp	p	p	p	b	1453:0, 6041:0	can (jar) / maize/ corn
102-1	i	1	pʰ	Ø	pʰ	Ø	pʰ	pʰ	ɕ	pʰ	pʰ	Ø	pʰ	pʰ	pʰ	pʰ	Ø	940:0	blow (trumpet)
135-1	i	1	pʰ	Ø	ⁿpʰ	Ø	pʰ	ⁿpʰ	pʰ	pʰ	Ø	Ø	ⁿpʰ	pʰ	ⁿpʰ	pʰ	Ø	11253:0	daughter / girl / younger sister
72-25	i	25	p	p	p	p	p	p	p	p	p	p	p	p	p	p	b	4223:0, 5269:0, 10027:0, 5751:0, 8770:0, 7601:0, 10733:0, 1253:0, 2088:0, 7030:0, 2566:0, 3492:0, 2209:0, 147:0, 5595:0, 8007:0, 11011:0, 711:0, 1372:0, 2125:0, 4865:0, 6350:0, 8844:0, 1030:0, 3453:0	a lame person / bedbug / book / bull / buttocks / cock / coffin / column / dark / extinguish / fall / full / heart / hundred / kitchen / last year / leg / mountain / open (a door) / quilt / run away / sleep / smoke / three / we / window
317-8	i	8	p	p	p	p	p	v	p	b	p	p	v	p	p	p	p	3883:0, 3800:0, 4538:0, 6486:0, 3369:0, 8549:0, 10007:0, 6375:0	enter (a house) / flat (level) / flower / grandmother / hand / mouse / nail / old lady / sick / thorn/ splinter
179-5	i	5	p	p	p	p	p	p	ɬ	p	p	t	p	p	p	p	p	1202:0, 2642:0, 4668:0, 2176:0, 2474:0	broom / collar / crow / day / five / hair / house
575-3	i	3	p	pʰ	p	p	pʰ	v	p	pʰ	p	p	ⁿb	p	Ø	l	p	8267:0, 4696:0, 10107:0	hammer / see / to wind( thread one a keel)
669-3	i	3	p	p	p	pʰ	p	pʰ	p	p	pʰ	p	pʰ	Ø	p	Ø	b	5717:0, 10194:0, 4144:0	front / left / right / tomorrow
682-3	i	3	p	p	p	p	p	v	p	p	p	p	v	p	ⁿp	p	b	5532:0, 1640:0, 3801:0	cave/ hole / flat (level) / know
1212-3	i	3	p	p	p	pʰ	ⁿp	Ø	v	p	p	pʰ	v	-	ⁿp	p	b	6425:0, 6356:0, 9232:0	mountain / move (something) / squeeze
261-2	i	2	p	Ø	p	v	p	p	p	Ø	p	p	p	p	p	h	b	5463:0, 4319:0	father / give / key
328-2	i	2	p	pʰ	p	tɬ	p	p	pʰ	p	Ø	t	p	p	p	p	p	393:0, 10920:0	Chinese cabbage / aubergine / cucumber / peach / white
64-1	i	1	p	p	p	Ø	p	p	Ø	p	p	t	p	p	p	p	b	7238:0	fruit / pear
104-1	i	1	p	p	p	Ø	p	p	Ø	b	p	t	p	Ø	p	pʰ	Ø	4560:0	grape
258-2	i	2	nʲ	ȵ̊	n̥	n	ȵ	ɳ	nʲ	ˀn	n̥	ȵ	n̥	nʲ	ɳ	Ø	n	8284:0, 3009:0	drum / seed
528-8	i	8	n	n	n	n	n	n	n	ˀn	n	nʲ	ˀn	n	n	n	n	6835:0, 9956:0, 5664:0, 9067:0, 596:0, 1911:0, 10815:0, 11221:0	be shy/bashful / classifier for person / leaf / now / sparrow / this / wet / younger brother
277-5	i	5	n	ȵ	n	n	n	n	n	n	n	n	n	n	n	n	ȵ	3246:0, 151:0, 2794:0, 3304:0, 3419:0	a lame person / difficult / eat / elder brother / everybody / human being
88-3	i	3	n	n̥	n̥	n̥	n̥	n	n	n̥	n̥	n̥	n̥	n	n̥	n	n	9540:0, 11147:0, 2679:0	day after tomorrow / sun / yesterday
400-3	i	3	n	n̥	n̥	n̥	n̥	n	n	n̥	n̥	n̥	n̥	n	n̥	ŋ	n	2645:0, 1049:0, 340:0	arrow / bow / day
1361-3	i	3	n	n	Ø	ȵ	Ø	ŋ	nʲ	n	Ø	n	ŋ	nʲ	ȵ	nʲ	ȵ	4904:0, 889:0, 4905:0	bitter / heavy (in taste) / salty
73-2	i	2	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	374:0, 6109:0	ask / maternal uncle (mother's brother)
211-2	i	2	n	n̥	n	n	n	n	n	n	n	n	n	n	n	n	n	7080:0, 5290:0	bird / husband / old man / owl
303-2	i	2	n	ȵ̥	n	n	n	n	nʲ	ˀn	n	ȵ̥	ˀn	n	n	n	n	9972:0, 4152:0	front / this year
490-2	i	2	n	n	n	ȵ	n	ȵ	n	ȵ	n	n	n	n	ȵ	n	Ø	4798:0, 1407:0	buy / he or she
618-2	i	2	n	Ø	Ø	ȵ	ŋ	n	n	Ø	n	n	n	ŋ	Ø	n	n	9845:0, 1764:0	child / they
15-1	i	1	n	n̥	n̥	n	n̥	ȵ	n	n̥	n̥	n̥	n̥	n	n̥	n	n	6756:0	noon
23-1	i	1	n	n	n̥	n	n̥	n	n	ˀn	n	n̥	n̥	n	n	n	n	10125:0	today
38-1	i	1	n	n̥	n̥	n̥	Ø	n	n	n	n̥	n̥	n̥	n	n̥	n	n	4843:0	hear
74-1	i	1	n	Ø	n	n	n	Ø	n	n	n	m	n	n	n	ŋ	Ø	1:0	(rain) fall / rain
127-1	i	1	n	Ø	Ø	n	n	Ø	n	n	n	n	Ø	n	n	ŋ	Ø	6373:0	mouse
236-1	i	1	n	Ø	Ø	n	Ø	ȵ	n	n̥	Ø	Ø	ȵ	Ø	n̥	n	Ø	3996:0	afternoon / forenoon
87-33	i	33	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	5148:0, 3464:0, 2323:0, 2403:0, 4922:0, 83:0, 3918:0, 8307:0, 176:0, 11180:0, 6888:0, 1406:0, 1569:0, 2065:0, 6822:0, 11204:0, 121:0, 6561:0, 8153:0, 10256:0, 11249:0, 6294:0, 6818:0, 10158:0, 10296:0, 1319:0, 3100:0, 3535:0, 6018:0, 6040:0, 8568:0, 8794:0, 6520:0	a blind person / a deaf person / a person with a pockmarked face / be not (negated copula) / busy / buy / cat / coal / cotton / cow / dust / ear / eye / fan (can be held by single hand) / fish / fly (insect) / hen / horse / lung / maize/ corn / mosquito / mother / name / nasal mucus / nose / not / old lady / scale / sell / sickle / sleeve / toilet / tongue / touch (stroke) / you (plural) / you (singular) / younger sister
278-3	i	3	m	m	m	m	m̥	m	m	m	m	m	m̥	m	m	m	m	4757:0, 8935:0, 5688:0	hat / leech / soft
480-3	i	3	m	m̥	m̥	m̥	m̥	m	m	Ø	m̥	m̥	m̥	m	Ø	f	m	10275:0, 10089:0, 1497:0	cane/ vine / to smell / tooth
910-3	i	3	m	m̥	Ø	m	m̥	m	Ø	m	m	m̥	m	m	m	m	m	3833:0, 8233:0, 7749:0	flour / glutinous rice / rice / scold
344-1	i	1	m	m	Ø	Ø	ⁿpʰ	Ø	m	Ø	Ø	m	Ø	m	Ø	m	Ø	4652:0	grind (flour)
274-33	i	33	l	l	l	l	l	l	l	l	l	l	l	l	l	l	l	7108:0, 7724:0, 3:0, 6865:0, 145:0, 4427:0, 5835:0, 6398:0, 6446:0, 9269:0, 3647:0, 9574:0, 631:0, 1304:0, 1344:0, 2091:0, 2745:0, 4634:0, 7954:0, 8572:0, 2169:0, 2538:0, 8360:0, 8569:0, 9068:0, 10792:0, 391:0, 1613:0, 3302:0, 6299:0, 8234:0, 9716:0, 10833:0	(rain) fall / a lame person / aubergine / be tired / bury / butterfly / cattle (bos taurus) / cock / collar / come / cupboard / day / dew / elder brother / field / gong / green / lightning / moon / mosquito / mouth / mud / old (aged) / old lady / old man / paddy field / return / rot / scold / shadow / sickle / sparrow / stand up / sun / swallow / swim / well / what
354-6	i	6	l	Ø	l	l	l	ˀl	l	ˀl	l	l	ˀl	l	l	l	l	8473:0, 713:0, 1909:0, 7625:0, 1879:0, 6981:0	bedbug / classifier for clothing / classifier for person / monkey / oneself / rabbit / red / short / which
